Light Petrol Truck,2,t,0.334
Medium Petrol Truck,8,t,0.115
Heavy Petrol Truck,10,t,0.104
Heavy Petrol Truck,18,t,0.104
Light Diesel Truck,2,t,0.286
Medium Diesel Truck,8,t,0.179
Heavy Diesel Truck,10,t,0.162
Heavy Diesel Truck,18,t,0.129
Heavy Diesel Truck,30,t,0.078
Heavy Diesel Truck,46,t,0.057
